URL Label,URL Classification
bad,Business
good,Arts
bad,Computers
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Adult
good,Adult
good,Arts
good,Adult
bad,Adult
bad,Adult
good,Adult
good,Adult
good,Arts
bad,Adult
bad,Adult
good,Arts
good,Society
good,Arts
bad,Computers
good,Adult
good,Arts
good,Unclassified
good,Kids
good,Kids
good,Arts
good,Arts
good,Adult
good,Arts
good,Arts
good,Adult
good,Adult
bad,Arts
good,Arts
good,Arts
bad,Adult
bad,Unclassified
good,Unclassified
good,Arts
good,Adult
good,Adult
bad,Computers
bad,Unclassified
good,Arts
bad,Unclassified
good,Unclassified
good,Arts
bad,Unclassified
good,Arts
good,Business
bad,Unclassified
bad,Computers
good,Business
good,Adult
bad,Unclassified
bad,Computers
good,Arts
good,Arts
bad,Unclassified
good,Adult
good,Arts
bad,Unclassified
good,Arts
good,Home
good,Adult
good,Adult
good,Arts
good,Adult
good,Adult
good,Adult
good,Arts
good,Arts
good,Adult
good,Arts
good,Arts
good,Unclassified
good,Adult
good,Arts
good,Arts
bad,Unclassified
good,Arts
good,Arts
good,Arts
bad,Adult
good,Arts
good,Adult
good,Arts
good,Adult
good,Adult
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Adult
good,Adult
bad,Adult
good,Arts
bad,Computers
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
bad,Adult
good,Arts
good,Arts
good,Arts
good,Adult
bad,Unclassified
bad,Unclassified
bad,Unclassified
good,Adult
bad,Computers
good,Arts
good,Adult
good,Arts
good,Arts
good,Arts
good,Adult
good,Adult
good,Adult
good,Adult
good,Adult
bad,Business
good,Adult
good,Adult
good,Adult
bad,Computers
good,Adult
good,Adult
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Business
good,Arts
good,Computers
bad,Computers
good,Arts
good,Arts
bad,Adult
good,Adult
bad,Adult
good,Arts
good,Arts
bad,Unclassified
good,Unclassified
bad,Computers
good,Adult
bad,Computers
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
bad,Unclassified
bad,Unclassified
bad,Unclassified
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Adult
bad,Arts
good,Arts
good,Unclassified
bad,Computers
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Adult
good,Home
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Adult
good,Arts
bad,Computers
bad,Adult
good,Arts
good,Arts
good,Arts
good,Arts
good,Adult
good,Arts
good,Arts
bad,Business
good,Computers
bad,Computers
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
bad,Computers
good,Adult
good,Arts
bad,Adult
bad,Arts
bad,Arts
bad,Computers
good,Arts
bad,Adult
good,Adult
good,Arts
good,Reference
good,Arts
good,Arts
bad,Computers
good,Adult
good,Arts
good,Adult
bad,Adult
bad,Adult
bad,Unclassified
good,Adult
bad,Adult
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Adult
good,Adult
good,Arts
good,Computers
good,Arts
good,Adult
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Adult
good,Adult
bad,Arts
good,Adult
good,Arts
good,Adult
good,Adult
good,Arts
good,Arts
good,Arts
good,Arts
good,Business
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Society
good,Adult
good,Adult
good,Adult
good,Arts
good,Arts
good,Adult
good,Arts
good,Adult
good,Adult
good,Arts
good,Arts
good,Adult
good,Arts
good,Arts
good,Arts
good,Adult
good,Adult
good,Arts
good,Adult
bad,Adult
bad,Adult
good,Arts
good,Arts
good,Arts
good,Adult
good,Adult
bad,Computers
good,Arts
good,Arts
good,Adult
bad,Computers
good,Adult
good,Adult
good,Adult
good,Adult
good,Arts
good,Arts
good,Arts
good,Adult
good,Adult
good,Arts
good,Adult
good,Arts
good,Adult
good,Arts
good,Science
good,Adult
good,Arts
good,Adult
good,Kids
bad,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Unclassified
good,Unclassified
good,Arts
good,Adult
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Adult
good,Adult
good,Unclassified
good,Adult
good,Arts
good,Unclassified
good,Unclassified
good,Arts
good,Unclassified
good,Adult
bad,Adult
good,Adult
bad,Adult
good,Arts
good,Arts
good,Arts
good,Adult
good,Adult
good,Adult
good,Arts
good,Adult
good,Adult
good,Arts
good,Arts
good,Arts
bad,Arts
good,Unclassified
good,Arts
good,Unclassified
good,Computers
good,Unclassified
good,Arts
good,Arts
good,Arts
good,Arts
good,Adult
good,Adult
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Unclassified
good,Arts
good,Arts
good,Adult
good,Adult
good,Adult
good,Adult
good,Adult
good,Arts
good,Arts
good,Arts
bad,Adult
good,Unclassified
good,Adult
good,Arts
good,Arts
good,Arts
bad,Adult
bad,Adult
bad,Adult
bad,Adult
bad,Adult
bad,Adult
good,Arts
good,Arts
bad,Adult
bad,Business
good,Adult
bad,Adult
good,Adult
good,Adult
bad,Adult
bad,Adult
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
bad,Business
bad,Adult
bad,Adult
bad,Adult
bad,Adult
good,Unclassified
bad,Adult
bad,Business
bad,Adult
good,Arts
bad,Adult
good,Arts
good,Arts
good,Adult
bad,Business
good,Arts
good,Arts
good,Arts
bad,Arts
good,Arts
good,Arts
bad,Arts
good,Arts
good,Arts
good,Adult
good,Adult
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
bad,Business
good,Arts
good,Arts
bad,Business
bad,Business
good,Unclassified
good,Arts
good,Arts
bad,Arts
good,Adult
bad,Arts
good,Arts
bad,Arts
bad,Arts
bad,Arts
good,Unclassified
good,Adult
good,Adult
good,Adult
bad,Computers
good,Adult
good,Computers
good,Adult
good,Arts
good,Arts
bad,Adult
good,Unclassified
good,Unclassified
good,Arts
good,Arts
bad,Business
good,Arts
good,Arts
good,Arts
good,Arts
bad,Business
good,Arts
good,Arts
good,Arts
good,Arts
good,Arts
good,Adult
good,Computers
good,Unclassified
good,Unclassified
good,Unclassified
good,Arts
